Agent Rank,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches,Rank,Agent
Iron 1 Sage,0.76,10.6 / 14.0 / 5.7,0.518,0.176,160,0.114,510561,Iron 1,Sage
Iron 1 Raze,0.89,12.9 / 14.5 / 4.7,0.518,0.117,202,0.141,339609,Iron 1,Raze
Iron 1 Reyna,0.97,14.0 / 14.4 / 4.4,0.516,0.116,212,0.156,338538,Iron 1,Reyna
Iron 1 Jett,0.93,13.3 / 14.3 / 3.6,0.512,0.101,200,0.156,292383,Iron 1,Jett
Iron 1 Sova,0.78,11.1 / 14.2 / 5.0,0.511,0.075,170,0.111,217974,Iron 1,Sova
Iron 1 Phoenix,0.84,12.1 / 14.4 / 3.8,0.49,0.064,183,0.149,186099,Iron 1,Phoenix
Iron 1 Omen,0.84,12.1 / 14.4 / 3.5,0.507,0.063,178,0.131,184314,Iron 1,Omen
Iron 1 Killjoy,0.81,11.2 / 13.7 / 4.0,0.537,0.063,171,0.103,184161,Iron 1,Killjoy
Iron 1 Viper,0.77,10.8 / 14.2 / 4.3,0.491,0.058,165,0.116,169626,Iron 1,Viper
Iron 1 Yoru,0.82,12.0 / 14.6 / 3.6,0.486,0.046,178,0.14,134385,Iron 1,Yoru
Iron 1 Brimstone,0.8,11.5 / 14.3 / 4.4,0.496,0.036,175,0.123,104550,Iron 1,Brimstone
Iron 1 Skye,0.75,10.9 / 14.5 / 4.4,0.512,0.032,163,0.122,91953,Iron 1,Skye
Iron 1 Cypher,0.8,11.0 / 13.9 / 4.5,0.477,0.029,166,0.108,83487,Iron 1,Cypher
Iron 1 Breach,0.77,11.2 / 14.6 / 4.7,0.522,0.018,171,0.147,51918,Iron 1,Breach
Iron 1 Astra,0.81,11.5 / 14.2 / 3.8,0.47,0.007,171,0.117,19533,Iron 1,Astra
Bronze 1 Sage,0.88,12.6 / 14.3 / 6.6,0.51,0.174,186,0.112,2573103,Bronze 1,Sage
Bronze 1 Reyna,1.1,16.5 / 15.0 / 4.6,0.516,0.127,241,0.156,1885266,Bronze 1,Reyna
